reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
78,80,162,0,0,0,6,21.87522500002524,22.730959500011522,22.730959500011522,22.87769270001445,t,2.722362600034103,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
67,75,119,0,1,1,5,25.50539000000572,26.471341800002847,26.471341800002847,26.50459889997728,l,1.0129348000045866,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
15,35,13,0,2,2,1,27.52083280001534,28.503462599997874,28.503462599997874,28.520271299988963,t,0.9847676000208594,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
27,50,21,0,3,3,2,29.522784199973103,30.506465599988587,30.506465599988587,30.523491300002206,l,0.541364100005012,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
49,60,89,0,4,4,4,31.085933000023942,32.068174900021404,32.068174900021404,32.10154760000296,l,0.24699539999710396,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
40,55,62,0,5,5,3,32.336293899978045,33.32173630001489,33.32173630001489,33.33828470000299,t,0.2344810999929905,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
11,30,7,0,6,6,0,33.60068710002815,34.5836677000043,34.5836677000043,34.6001676999731,l,0.2476116999750957,197493,001,2022-11-03_18h03.21.552,Delay discounting task,2022.2.4,60.05147612580859,
